text,emotion
['Chidiya Kyon Hai'],Angry
['Chidiya Kyon Hai'],Angry
['Unka Mere bare mein'],Angry
['Mere Khwaja Sahab ki takrir pesh ki'],Angry
['the ultimate aim of'],Angry
['department it country to reach US'],Angry
['karta hun Pakistan'],Angry
['it is the second to the circle of the world'],Angry
['department'],Angry
['yah Sare ke sare Angrej Ne Banaya'],Angry
['Department of Islamic'],Angry
['Aata Hai'],Angry
['struction aur isko Allama Muhammad Asad'],Angry
['Allah Mashallah'],Angry
['objective statement'],Angry
['in view of the great changes both'],Angry
['spiritual with the most'],Angry
['in our country is under'],Angry
['Udata hai'],Angry
['karti hai'],Angry
['yah to Pathar ko kis'],Angry
['going to be in conflict'],Angry
['Papa Mein Pichhle 300 Sal Mein dikhao Mein kam aapse baat kar'],Angry
['Aap Jo Kodi Kodi ke'],Angry
['Puri Duniya Mein Ek Bar'],Angry
['Pogo cartoon Pakistan'],Angry
['Nava liberal Pakistan se'],Angry
['Pakistan ka Pakistan tha'],Angry
['Ham Musalman per'],Angry
['Dor se Gujar Rahi'],Angry
['Faisal Puri Duniya Mein medical ki book'],Angry
['Islam Kisko samajhte hain aap'],Angry
['commerce kar raha hai'],Angry
['Iqbal 1 traditional Islamic'],Angry
['Rasool Allah Ke Rasool'],Angry
['Pyar Karne Wale Aur Duniya Ki taleem'],Angry
['Mohammed Ali Jinnah'],Angry
['Aane Wale making tiger'],Angry
['self respect'],Angry
['Bal ka falsafa khudi'],Angry
['Islam tha'],Angry
['cartography'],Angry
['income account'],Angry
['Karenge Kamran ismein'],Angry
['Nizamuddin Auliya'],Angry
['free'],Angry
['Jyada Bada model roll mein'],Angry
['Tumhari aukat kya'],Angry
['Ek aur baat'],Angry
['Aaj Pakistan aur India ki'],Angry
['ek photo se couple'],Angry
['cal Tak'],Angry
['Qureshi ka picture'],Angry
['power'],Angry
['Kumar ke photo'],Angry
['Chaudhari'],Angry
['unko bhi'],Angry
['what the weather'],Angry
['abhi to'],Angry
['about Pakistan'],Angry
['ki baat kar raha hai'],Angry
['Hotel Kamal'],Angry
['yoga'],Angry
['mote Badha Ke Tu'],Sad
['Aisi Maut Ho Kisi Se Duniya Yad rakhen'],Sad
['lekin Aaj Tak Nahin pata'],Sad
['Nahin pata chal raha mein'],Sad
['dialogue MI'],Sad
['Anshu Shukla to Dekhen'],Sad
['mote Badha Ke Tu'],Sad
['Aisi Maut Ho Kisi Se Duniya Yad rakhen'],Sad
['lekin Aaj Tak Nahin pata'],Sad
['Nahin pata chal raha mein'],Sad
['dialogue MI'],Sad
['Anshu Shukla to Dekhen'],Sad
['kya kya kiske kahan the'],Sad
['Ek Raat Taluka'],Sad
['isase pahle aap Jante the unko'],Sad
['aise kaise kam padh kar rahe the'],Sad
